id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,spread pressure,83,40,22,81,365,ship,baseline,monotonic-signal,raise-signal
m002,g002,fill risk,59,18,37,59,165,watch,edge,drag-penalty,drop-slack
m003,g003,portfolio drift,99,26,32,24,318,ship,recovery,confidence-floor,raise-drag
m004,g004,quote width,78,27,20,70,329,ship,negative,lane-boundary,lower-confidence
m005,g005,spread pressure,124,30,19,31,481,ship,baseline,monotonic-signal,raise-signal
m006,g006,fill risk,49,58,20,52,226,ship,edge,drag-penalty,drop-slack
m007,g007,portfolio drift,64,56,50,67,179,watch,recovery,confidence-floor,raise-drag
m008,g008,quote width,31,17,35,66,67,hold,negative,lane-boundary,lower-confidence
m009,g009,spread pressure,71,35,33,90,277,ship,baseline,monotonic-signal,raise-signal
m010,g010,fill risk,37,35,33,57,108,hold,edge,drag-penalty,drop-slack
m011,g011,portfolio drift,116,19,21,88,487,ship,recovery,confidence-floor,raise-drag
m012,g012,quote width,71,8,6,52,320,ship,negative,lane-boundary,lower-confidence
m013,g013,spread pressure,105,75,14,58,497,ship,baseline,monotonic-signal,raise-signal
m014,g014,fill risk,112,30,9,59,501,ship,edge,drag-penalty,drop-slack
m015,g015,portfolio drift,79,27,36,64,263,ship,recovery,confidence-floor,raise-drag
m016,g016,quote width,110,57,40,15,352,ship,negative,lane-boundary,lower-confidence
m017,g017,spread pressure,50,40,5,57,277,ship,baseline,monotonic-signal,raise-signal
m018,g018,fill risk,98,23,31,76,367,ship,edge,drag-penalty,drop-slack
m019,g019,portfolio drift,86,68,11,47,415,ship,recovery,confidence-floor,raise-drag
m020,g020,quote width,84,53,13,67,404,ship,negative,lane-boundary,lower-confidence
m021,g021,spread pressure,95,13,40,58,291,ship,baseline,monotonic-signal,raise-signal
m022,g022,fill risk,91,19,13,23,354,ship,edge,drag-penalty,drop-slack
m023,g023,portfolio drift,97,41,29,82,395,ship,recovery,confidence-floor,raise-drag
m024,g024,quote width,59,49,7,17,274,ship,negative,lane-boundary,lower-confidence
m025,g025,spread pressure,53,60,22,51,235,ship,baseline,monotonic-signal,raise-signal
m026,g026,fill risk,84,18,10,66,380,ship,edge,drag-penalty,drop-slack
m027,g027,portfolio drift,63,51,12,78,333,ship,recovery,confidence-floor,raise-drag
m028,g028,quote width,56,64,4,76,348,ship,negative,lane-boundary,lower-confidence
m029,g029,spread pressure,65,73,5,56,369,ship,baseline,monotonic-signal,raise-signal
m030,g030,fill risk,60,34,28,87,249,ship,edge,drag-penalty,drop-slack
m031,g031,portfolio drift,109,34,27,64,426,ship,recovery,confidence-floor,raise-drag
m032,g032,quote width,115,31,18,44,463,ship,negative,lane-boundary,lower-confidence
